,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,geometry,OBJECTID,COUNTY_NAME,COUNTY_ABBREV,COUNTY_NUM,COUNTY_CODE,COUNTY_FIPS,ISLAND,GlobalID,SHAPE_Length,SHAPE_Area
0,37.8366,-120.1255,300.0,1.1,1.0,2023-01-25,1844,Terra,MODIS,22,6.03,282.7,6.3,D,0.0,2023,POINT (-120.1255 37.8366),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
1,37.8324,-120.1279,302.7,1.0,1.0,2023-01-26,2122,Aqua,MODIS,53,6.03,286.7,6.1,D,0.0,2023,POINT (-120.1279 37.8324),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
2,37.8308,-120.1392,307.7,1.0,1.0,2023-01-26,2122,Aqua,MODIS,66,6.03,287.3,9.4,D,0.0,2023,POINT (-120.1392 37.8308),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
3,37.8344,-120.1387,312.4,1.1,1.0,2023-01-27,1828,Terra,MODIS,72,6.03,283.6,15.7,D,0.0,2023,POINT (-120.1387 37.8344),55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},5.18807618118547,0.6053069046751758
4,32.618,-116.1369,313.5,1.1,1.0,2023-01-07,2059,Aqua,MODIS,69,6.03,288.9,11.9,D,0.0,2023,POINT (-116.1369 32.618),37,San Diego,SDG,37,37,073,,{414826EC-689E-4084-BD03-5195DF2748BF},4.7252701560295165,1.0645517454524673
5,32.6185,-116.1244,305.5,1.2,1.1,2023-01-27,1829,Terra,MODIS,46,6.03,289.4,7.8,D,0.0,2023,POINT (-116.1244 32.6185),37,San Diego,SDG,37,37,073,,{414826EC-689E-4084-BD03-5195DF2748BF},4.7252701560295165,1.0645517454524673
6,33.3579,-116.8771,308.8,1.0,1.0,2023-01-28,2107,Aqua,MODIS,63,6.03,283.1,11.0,D,0.0,2023,POINT (-116.8771 33.3579),37,San Diego,SDG,37,37,073,,{414826EC-689E-4084-BD03-5195DF2748BF},4.7252701560295165,1.0645517454524673
7,33.5638,-116.0182,310.1,1.2,1.1,2023-01-24,1804,Terra,MODIS,70,6.03,294.2,8.8,D,0.0,2023,POINT (-116.0182 33.5638),33,Riverside,RIV,33,33,065,,{5A8DE123-B918-4725-9868-268A4BBCC4E7},7.952958934488648,1.8399652657563457
8,33.8963,-116.3528,308.0,1.2,1.1,2023-01-27,1829,Terra,MODIS,62,6.03,294.4,4.9,D,2.0,2023,POINT (-116.3528 33.8963),33,Riverside,RIV,33,33,065,,{5A8DE123-B918-4725-9868-268A4BBCC4E7},7.952958934488648,1.8399652657563457
9,36.1785,-120.099,311.2,1.1,1.0,2023-01-25,1844,Terra,MODIS,69,6.03,287.3,10.9,D,2.0,2023,POINT (-120.099 36.1785),10,Fresno,FRE,10,10,019,,{F57A290A-F11E-4B3B-A53B-E8E4C2284BBB},9.045698654872025,1.5708748094450644
10,35.3967,-120.045,310.0,1.1,1.1,2023-01-25,1844,Terra,MODIS,45,6.03,288.6,10.6,D,0.0,2023,POINT (-120.045 35.3967),40,San Luis Obispo,SLO,40,40,079,,{9EE2E9C5-6CB8-4AA9-8591-276DB26F7B52},6.520274232166941,0.8535445968372963
11,35.3987,-120.0571,318.8,1.1,1.1,2023-01-25,1844,Terra,MODIS,69,6.03,288.3,20.6,D,0.0,2023,POINT (-120.0571 35.3987),40,San Luis Obispo,SLO,40,40,079,,{9EE2E9C5-6CB8-4AA9-8591-276DB26F7B52},6.520274232166941,0.8535445968372963
12,35.0632,-120.4837,305.1,1.1,1.0,2023-01-27,1829,Terra,MODIS,61,6.03,291.9,6.4,D,0.0,2023,POINT (-120.4837 35.0632),40,San Luis Obispo,SLO,40,40,079,,{9EE2E9C5-6CB8-4AA9-8591-276DB26F7B52},6.520274232166941,0.8535445968372963
13,35.3789,-120.1392,301.7,1.2,1.1,2023-01-28,2108,Aqua,MODIS,48,6.03,290.7,4.1,D,0.0,2023,POINT (-120.1392 35.3789),40,San Luis Obispo,SLO,40,40,079,,{9EE2E9C5-6CB8-4AA9-8591-276DB26F7B52},6.520274232166941,0.8535445968372963
14,34.8105,-119.4577,306.1,1.3,1.1,2023-01-24,2134,Aqua,MODIS,59,6.03,292.1,7.7,D,0.0,2023,POINT (-119.4577 34.8105),42,Santa Barbara,SBA,42,42,083,,{5275E3EF-B1E1-4AEA-A429-CE42646F9D3A},4.4113625668966545,0.6501760143777534
15,34.787,-120.2874,301.4,1.1,1.1,2023-01-25,1845,Terra,MODIS,47,6.03,288.5,5.5,D,0.0,2023,POINT (-120.2874 34.787),42,Santa Barbara,SBA,42,42,083,,{5275E3EF-B1E1-4AEA-A429-CE42646F9D3A},4.4113625668966545,0.6501760143777534
16,34.8148,-119.4465,306.2,1.2,1.1,2023-01-25,1845,Terra,MODIS,63,6.03,288.1,9.4,D,0.0,2023,POINT (-119.4465 34.8148),42,Santa Barbara,SBA,42,42,083,,{5275E3EF-B1E1-4AEA-A429-CE42646F9D3A},4.4113625668966545,0.6501760143777534
17,34.817,-119.4593,313.0,1.2,1.1,2023-01-25,1845,Terra,MODIS,73,6.03,288.8,15.8,D,0.0,2023,POINT (-119.4593 34.817),42,Santa Barbara,SBA,42,42,083,,{5275E3EF-B1E1-4AEA-A429-CE42646F9D3A},4.4113625668966545,0.6501760143777534
18,34.8161,-119.468,302.2,3.0,1.7,2023-01-25,2039,Aqua,MODIS,51,6.03,290.6,24.4,D,0.0,2023,POINT (-119.468 34.8161),42,Santa Barbara,SBA,42,42,083,,{5275E3EF-B1E1-4AEA-A429-CE42646F9D3A},4.4113625668966545,0.6501760143777534
