Unnamed: 0,lat,lon,Qair_f_inst
0,33.0,-116.875,0.0028008725
1,33.0,-116.25,0.002489715
2,33.0,-115.625,0.0027529066
3,33.0,-115.0,0.0027007426
4,33.5,-117.5,0.003392014
5,33.5,-116.875,0.0027606841
6,33.5,-116.25,0.0026849434
7,33.5,-115.625,0.0028262883
8,33.5,-115.0,0.0028072402
9,34.0,-118.125,0.0032364165
10,34.0,-117.5,0.0027733557
11,34.0,-116.875,0.0026219133
12,34.0,-116.25,0.0026739424
13,34.0,-115.625,0.0028814494
14,34.0,-115.0,0.0028776282
15,34.5,-120.0,0.0049757734
16,34.5,-119.375,0.004259743
17,34.5,-118.75,0.003963185
18,34.5,-118.125,0.0032896276
19,34.5,-117.5,0.0027454637
20,34.5,-116.875,0.0026995654
21,34.5,-116.25,0.0027378958
22,34.5,-115.625,0.0029923979
23,34.5,-115.0,0.0028577913
24,35.0,-120.625,0.0058531812
25,35.0,-120.0,0.0047389804
26,35.0,-119.375,0.004452274
27,35.0,-118.75,0.0040718247
28,35.0,-118.125,0.0035333012
29,35.0,-117.5,0.0028005056
30,35.0,-116.875,0.00268465
31,35.0,-116.25,0.0028590625
32,35.0,-115.625,0.0030095072
33,35.0,-115.0,0.0028008588
34,35.5,-120.625,0.006015148
35,35.5,-120.0,0.0053348616
36,35.5,-119.375,0.004928551
37,35.5,-118.75,0.004166771
38,35.5,-118.125,0.0035747048
39,35.5,-117.5,0.0029511638
40,35.5,-116.875,0.0027173879
41,35.5,-116.25,0.0028812538
42,35.5,-115.625,0.002960611
43,36.0,-121.25,0.0069845375
44,36.0,-120.625,0.006204318
45,36.0,-120.0,0.0056477715
46,36.0,-119.375,0.005043106
47,36.0,-118.75,0.0035535193
48,36.0,-118.125,0.003426158
49,36.0,-117.5,0.0030851236
50,36.0,-116.875,0.002786436
51,36.0,-116.25,0.0028401415
52,36.5,-121.875,0.0077034463
53,36.5,-121.25,0.0070706415
54,36.5,-120.625,0.0062751933
55,36.5,-120.0,0.005424183
56,36.5,-119.375,0.0043252637
57,36.5,-118.75,0.0030383747
58,36.5,-118.125,0.0030272817
59,36.5,-117.5,0.003006938
60,36.5,-116.875,0.0028351808
61,37.0,-121.875,0.0077878623
62,37.0,-121.25,0.0072204326
63,37.0,-120.625,0.00593826
64,37.0,-120.0,0.0044083884
65,37.0,-119.375,0.0032708135
66,37.0,-118.75,0.0026420706
67,37.0,-118.125,0.002990123
68,37.0,-117.5,0.0030422264
69,37.5,-121.875,0.007901336
70,37.5,-121.25,0.0071131024
71,37.5,-120.625,0.005167759
72,37.5,-120.0,0.0036090051
73,37.5,-119.375,0.0026702068
74,37.5,-118.75,0.0022350636
75,37.5,-118.125,0.002878177
76,38.0,-122.5,0.007643756
77,38.0,-121.875,0.0077784397
78,38.0,-121.25,0.0066940016
79,38.0,-120.625,0.0048784
80,38.0,-120.0,0.0034904645
81,38.0,-119.375,0.0021843675
82,38.0,-118.75,0.0023382406
83,38.5,-123.125,0.0066640866
84,38.5,-122.5,0.0070064324
85,38.5,-121.875,0.0074420203
86,38.5,-121.25,0.0062156934
87,38.5,-120.625,0.00467882
88,38.5,-120.0,0.003232034
89,38.5,-119.375,0.0025620803
90,39.0,-123.125,0.0053762835
91,39.0,-122.5,0.006380126
92,39.0,-121.875,0.0071589476
93,39.0,-121.25,0.0061486834
94,39.0,-120.625,0.004707645
95,39.5,-123.75,0.005648596
96,39.5,-123.125,0.004687712
97,39.5,-122.5,0.005894875
98,39.5,-121.875,0.0069314446
99,39.5,-121.25,0.0060443897
100,39.5,-120.625,0.004883639
101,40.0,-123.75,0.0052479077
102,40.0,-123.125,0.004624038
103,40.0,-122.5,0.005716098
104,40.0,-121.875,0.0065618264
105,40.0,-121.25,0.0054272865
106,40.0,-120.625,0.004917352
107,40.0,-120.0,0.004593015
108,40.5,-124.375,0.00549328
109,40.5,-123.75,0.0050843437
110,40.5,-123.125,0.004823939
111,40.5,-122.5,0.005395848
112,40.5,-121.875,0.006135754
113,40.5,-121.25,0.005041763
114,40.5,-120.625,0.00499943
115,40.5,-120.0,0.005142451
116,41.0,-123.75,0.0047864984
117,41.0,-123.125,0.0043290243
118,41.0,-122.5,0.004516141
119,41.0,-121.875,0.005313287
120,41.0,-121.25,0.0050346972
121,41.0,-120.625,0.0046144123
122,41.0,-120.0,0.0044950712
123,41.5,-123.75,0.0050106184
124,41.5,-123.125,0.004375349
125,41.5,-122.5,0.004139053
126,41.5,-121.875,0.004205142
127,41.5,-121.25,0.004578614
128,41.5,-120.625,0.0044311117
129,41.5,-120.0,0.004127798
130,42.0,-123.125,0.004627556
131,42.0,-122.5,0.0043691997
132,42.0,-121.875,0.0040932014
