,lat,lon,QLML
0,33.0,-116.875,0.005438153
1,33.0,-116.25,0.005079061
2,33.0,-115.625,0.005130572
3,33.0,-115.0,0.005188268
4,33.5,-117.5,0.005993704
5,33.5,-116.875,0.004888182
6,33.5,-116.25,0.004379639
7,33.5,-115.625,0.0044661374
8,33.5,-115.0,0.004637173
9,34.0,-118.125,0.005191342
10,34.0,-117.5,0.004815755
11,34.0,-116.875,0.0042100144
12,34.0,-116.25,0.0039742487
13,34.0,-115.625,0.004112506
14,34.0,-115.0,0.0043431767
15,34.5,-120.0,0.004637547
16,34.5,-119.375,0.004058681
17,34.5,-118.75,0.0040689385
18,34.5,-118.125,0.003986848
19,34.5,-117.5,0.00389596
20,34.5,-116.875,0.0038529278
21,34.5,-116.25,0.0039355615
22,34.5,-115.625,0.003998464
23,34.5,-115.0,0.0040538553
24,35.0,-120.625,0.0048888098
25,35.0,-120.0,0.0039865603
26,35.0,-119.375,0.0039808066
27,35.0,-118.75,0.0040700887
28,35.0,-118.125,0.003676513
29,35.0,-117.5,0.0036906714
30,35.0,-116.875,0.0038144954
31,35.0,-116.25,0.003973831
32,35.0,-115.625,0.0037931446
33,35.0,-115.0,0.0037344487
34,35.5,-120.625,0.0044462704
35,35.5,-120.0,0.0041572195
36,35.5,-119.375,0.0042137164
37,35.5,-118.75,0.004004195
38,35.5,-118.125,0.00321615
39,35.5,-117.5,0.0033059528
40,35.5,-116.875,0.0036159575
41,35.5,-116.25,0.0037946326
42,35.5,-115.625,0.0034962336
43,36.0,-121.25,0.004974117
44,36.0,-120.625,0.0043689352
45,36.0,-120.0,0.004316806
46,36.0,-119.375,0.0041812616
47,36.0,-118.75,0.003423646
48,36.0,-118.125,0.002650439
49,36.0,-117.5,0.0030152423
50,36.0,-116.875,0.0033405505
51,36.0,-116.25,0.0034071917
52,36.5,-121.875,0.006055334
53,36.5,-121.25,0.0048189387
54,36.5,-120.625,0.004479955
55,36.5,-120.0,0.0044485345
56,36.5,-119.375,0.0038188016
57,36.5,-118.75,0.0027240245
58,36.5,-118.125,0.0023733575
59,36.5,-117.5,0.002778801
60,36.5,-116.875,0.0029652717
61,37.0,-121.875,0.0055042594
62,37.0,-121.25,0.0048856707
63,37.0,-120.625,0.004573179
64,37.0,-120.0,0.0040119416
65,37.0,-119.375,0.003041874
66,37.0,-118.75,0.0020181448
67,37.0,-118.125,0.002291738
68,37.0,-117.5,0.0026161093
69,37.5,-121.875,0.0052485447
70,37.5,-121.25,0.004737627
71,37.5,-120.625,0.004096532
72,37.5,-120.0,0.0032437781
73,37.5,-119.375,0.0022782362
74,37.5,-118.75,0.0017217248
75,37.5,-118.125,0.0021697606
76,38.0,-122.5,0.005699523
77,38.0,-121.875,0.0052674334
78,38.0,-121.25,0.004508846
79,38.0,-120.625,0.0034952592
80,38.0,-120.0,0.0026974177
81,38.0,-119.375,0.0019502402
82,38.0,-118.75,0.0018347712
83,38.5,-123.125,0.0053258464
84,38.5,-122.5,0.0047144513
85,38.5,-121.875,0.004630207
86,38.5,-121.25,0.004048348
87,38.5,-120.625,0.0029595084
88,38.5,-120.0,0.0023592245
89,38.5,-119.375,0.0018576756
90,39.0,-123.125,0.004456559
91,39.0,-122.5,0.0038646953
92,39.0,-121.875,0.0038507972
93,39.0,-121.25,0.003346532
94,39.0,-120.625,0.0026639365
95,39.5,-123.75,0.0050238403
96,39.5,-123.125,0.003952055
97,39.5,-122.5,0.0034755778
98,39.5,-121.875,0.003056181
99,39.5,-121.25,0.0028421693
100,39.5,-120.625,0.0024435134
101,40.0,-123.75,0.0046746093
102,40.0,-123.125,0.003719882
103,40.0,-122.5,0.0034458062
104,40.0,-121.875,0.0028563284
105,40.0,-121.25,0.002492971
106,40.0,-120.625,0.0022990862
107,40.0,-120.0,0.0021577335
108,40.5,-124.375,0.00503578
109,40.5,-123.75,0.0043377965
110,40.5,-123.125,0.003851463
111,40.5,-122.5,0.0033233443
112,40.5,-121.875,0.0026374108
113,40.5,-121.25,0.0021694973
114,40.5,-120.625,0.002062726
115,40.5,-120.0,0.002171208
116,41.0,-123.75,0.0041660042
117,41.0,-123.125,0.0036932367
118,41.0,-122.5,0.0031668537
119,41.0,-121.875,0.002629578
120,41.0,-121.25,0.0021759656
121,41.0,-120.625,0.0019636636
122,41.0,-120.0,0.0019901155
123,41.5,-123.75,0.004191617
124,41.5,-123.125,0.0035620015
125,41.5,-122.5,0.0029656712
126,41.5,-121.875,0.0024558036
127,41.5,-121.25,0.0021846872
128,41.5,-120.625,0.0020292238
129,41.5,-120.0,0.001934703
130,42.0,-123.125,0.0035163148
131,42.0,-122.5,0.0026509184
132,42.0,-121.875,0.002271042
