lat,lon,spatial_ref,Qair_f_inst
32.625,-124.125,0,0.0
32.625,-123.875,0,0.0
32.625,-123.625,0,0.0
32.625,-123.375,0,0.0
32.625,-123.125,0,0.0
32.625,-122.875,0,0.0
32.625,-122.625,0,0.0
32.625,-122.375,0,0.0
32.625,-122.125,0,0.0
32.625,-121.875,0,0.0
32.625,-121.625,0,0.0
32.625,-121.375,0,0.0
32.625,-121.125,0,0.0
32.625,-120.875,0,0.0
32.625,-120.625,0,0.0
32.625,-120.375,0,0.0
32.625,-120.125,0,0.0
32.625,-119.875,0,0.0
32.625,-119.625,0,0.0
32.625,-119.375,0,0.0
32.625,-119.125,0,0.0
32.625,-118.875,0,0.0
32.625,-118.625,0,0.0
32.625,-118.375,0,0.0
32.625,-118.125,0,0.0
32.625,-117.875,0,0.0
32.625,-117.625,0,0.0
32.625,-117.375,0,0.0
32.625,-117.125,0,0.011461477
32.625,-116.875,0,0.011281476
32.625,-116.625,0,0.010078978
32.625,-116.375,0,0.008815227
32.625,-116.125,0,0.0074689765
32.625,-115.875,0,0.0
32.625,-115.625,0,0.0
32.625,-115.375,0,0.0
32.625,-115.125,0,0.0
32.625,-114.875,0,0.0
32.875,-124.125,0,0.0
32.875,-123.875,0,0.0
32.875,-123.625,0,0.0
32.875,-123.375,0,0.0
32.875,-123.125,0,0.0
32.875,-122.875,0,0.0
32.875,-122.625,0,0.0
32.875,-122.375,0,0.0
32.875,-122.125,0,0.0
32.875,-121.875,0,0.0
32.875,-121.625,0,0.0
32.875,-121.375,0,0.0
32.875,-121.125,0,0.0
32.875,-120.875,0,0.0
32.875,-120.625,0,0.0
32.875,-120.375,0,0.0
32.875,-120.125,0,0.0
32.875,-119.875,0,0.0
32.875,-119.625,0,0.0
32.875,-119.375,0,0.0
32.875,-119.125,0,0.0
32.875,-118.875,0,0.0
32.875,-118.625,0,0.0
32.875,-118.375,0,0.0
32.875,-118.125,0,0.0
32.875,-117.875,0,0.0
32.875,-117.625,0,0.0
32.875,-117.375,0,0.0
32.875,-117.125,0,0.011760227
32.875,-116.875,0,0.0109489765
32.875,-116.625,0,0.009967727
32.875,-116.375,0,0.009098977
32.875,-116.125,0,0.0071802265
32.875,-115.875,0,0.007136477
32.875,-115.625,0,0.007638977
32.875,-115.375,0,0.007845227
32.875,-115.125,0,0.0075452267
32.875,-114.875,0,0.0070202267
33.125,-124.125,0,0.0
33.125,-123.875,0,0.0
33.125,-123.625,0,0.0
33.125,-123.375,0,0.0
33.125,-123.125,0,0.0
33.125,-122.875,0,0.0
33.125,-122.625,0,0.0
33.125,-122.375,0,0.0
33.125,-122.125,0,0.0
33.125,-121.875,0,0.0
33.125,-121.625,0,0.0
33.125,-121.375,0,0.0
33.125,-121.125,0,0.0
33.125,-120.875,0,0.0
33.125,-120.625,0,0.0
33.125,-120.375,0,0.0
33.125,-120.125,0,0.0
33.125,-119.875,0,0.0
33.125,-119.625,0,0.0
33.125,-119.375,0,0.0
33.125,-119.125,0,0.0
33.125,-118.875,0,0.0
33.125,-118.625,0,0.0
33.125,-118.375,0,0.0
33.125,-118.125,0,0.0
33.125,-117.875,0,0.0
33.125,-117.625,0,0.0
33.125,-117.375,0,0.0
33.125,-117.125,0,0.011736478
33.125,-116.875,0,0.010723976
33.125,-116.625,0,0.009890227
33.125,-116.375,0,0.008278977
33.125,-116.125,0,0.0072489763
33.125,-115.875,0,0.0087064775
33.125,-115.625,0,0.009403977
33.125,-115.375,0,0.008048978
33.125,-115.125,0,0.0076239766
33.125,-114.875,0,0.006965227
33.375,-124.125,0,0.0
33.375,-123.875,0,0.0
33.375,-123.625,0,0.0
33.375,-123.375,0,0.0
33.375,-123.125,0,0.0
33.375,-122.875,0,0.0
33.375,-122.625,0,0.0
33.375,-122.375,0,0.0
33.375,-122.125,0,0.0
33.375,-121.875,0,0.0
33.375,-121.625,0,0.0
33.375,-121.375,0,0.0
33.375,-121.125,0,0.0
33.375,-120.875,0,0.0
33.375,-120.625,0,0.0
33.375,-120.375,0,0.0
33.375,-120.125,0,0.0
33.375,-119.875,0,0.0
33.375,-119.625,0,0.0
33.375,-119.375,0,0.0
33.375,-119.125,0,0.0
33.375,-118.875,0,0.0
33.375,-118.625,0,0.0
33.375,-118.375,0,0.0
33.375,-118.125,0,0.0
33.375,-117.875,0,0.0
33.375,-117.625,0,0.0
33.375,-117.375,0,0.012458977
33.375,-117.125,0,0.011902727
33.375,-116.875,0,0.011008978
33.375,-116.625,0,0.009801477
33.375,-116.375,0,0.008141478
33.375,-116.125,0,0.008718978
33.375,-115.875,0,0.011345227
33.375,-115.625,0,0.009737727
33.375,-115.375,0,0.008525226
33.375,-115.125,0,0.008096477
33.375,-114.875,0,0.006927727
33.625,-124.125,0,0.0
33.625,-123.875,0,0.0
33.625,-123.625,0,0.0
33.625,-123.375,0,0.0
33.625,-123.125,0,0.0
33.625,-122.875,0,0.0
33.625,-122.625,0,0.0
33.625,-122.375,0,0.0
33.625,-122.125,0,0.0
33.625,-121.875,0,0.0
33.625,-121.625,0,0.0
33.625,-121.375,0,0.0
33.625,-121.125,0,0.0
33.625,-120.875,0,0.0
33.625,-120.625,0,0.0
33.625,-120.375,0,0.0
33.625,-120.125,0,0.0
33.625,-119.875,0,0.0
33.625,-119.625,0,0.0
33.625,-119.375,0,0.0
33.625,-119.125,0,0.0
33.625,-118.875,0,0.0
33.625,-118.625,0,0.0
33.625,-118.375,0,0.0
33.625,-118.125,0,0.0
33.625,-117.875,0,0.0118302265
33.625,-117.625,0,0.012298976
33.625,-117.375,0,0.012446478
33.625,-117.125,0,0.011777727
33.625,-116.875,0,0.010350227
33.625,-116.625,0,0.009200228
33.625,-116.375,0,0.007937727
33.625,-116.125,0,0.007130227
33.625,-115.875,0,0.0076114773
33.625,-115.625,0,0.008306477
33.625,-115.375,0,0.008505227
33.625,-115.125,0,0.0077139772
33.625,-114.875,0,0.006767727
33.875,-124.125,0,0.0
33.875,-123.875,0,0.0
33.875,-123.625,0,0.0
33.875,-123.375,0,0.0
33.875,-123.125,0,0.0
33.875,-122.875,0,0.0
33.875,-122.625,0,0.0
33.875,-122.375,0,0.0
33.875,-122.125,0,0.0
33.875,-121.875,0,0.0
33.875,-121.625,0,0.0
33.875,-121.375,0,0.0
33.875,-121.125,0,0.0
33.875,-120.875,0,0.0
33.875,-120.625,0,0.0
33.875,-120.375,0,0.0
33.875,-120.125,0,0.0
33.875,-119.875,0,0.0
33.875,-119.625,0,0.0
33.875,-119.375,0,0.0
33.875,-119.125,0,0.0
33.875,-118.875,0,0.0
33.875,-118.625,0,0.0
33.875,-118.375,0,0.011255227
33.875,-118.125,0,0.011231476
33.875,-117.875,0,0.011321478
33.875,-117.625,0,0.011345228
33.875,-117.375,0,0.011163977
33.875,-117.125,0,0.010282727
33.875,-116.875,0,0.008777726
33.875,-116.625,0,0.0074889767
33.875,-116.375,0,0.0067727272
33.875,-116.125,0,0.0070014764
33.875,-115.875,0,0.007392727
33.875,-115.625,0,0.007861476
33.875,-115.375,0,0.007616477
33.875,-115.125,0,0.007123977
33.875,-114.875,0,0.0066764764
34.125,-124.125,0,0.0
34.125,-123.875,0,0.0
34.125,-123.625,0,0.0
34.125,-123.375,0,0.0
34.125,-123.125,0,0.0
34.125,-122.875,0,0.0
34.125,-122.625,0,0.0
34.125,-122.375,0,0.0
34.125,-122.125,0,0.0
34.125,-121.875,0,0.0
34.125,-121.625,0,0.0
34.125,-121.375,0,0.0
34.125,-121.125,0,0.0
34.125,-120.875,0,0.0
34.125,-120.625,0,0.0
34.125,-120.375,0,0.0
34.125,-120.125,0,0.0
34.125,-119.875,0,0.0
34.125,-119.625,0,0.0
34.125,-119.375,0,0.0
34.125,-119.125,0,0.010740226
34.125,-118.875,0,0.0109764775
34.125,-118.625,0,0.011021476
34.125,-118.375,0,0.010778977
34.125,-118.125,0,0.010027727
34.125,-117.875,0,0.009528977
34.125,-117.625,0,0.009170227
34.125,-117.375,0,0.0087352265
34.125,-117.125,0,0.007990227
34.125,-116.875,0,0.0073314765
34.125,-116.625,0,0.006560227
34.125,-116.375,0,0.0060364767
34.125,-116.125,0,0.006462727
34.125,-115.875,0,0.006815227
34.125,-115.625,0,0.007070227
34.125,-115.375,0,0.007426477
34.125,-115.125,0,0.006998977
34.125,-114.875,0,0.0061989767
34.375,-124.125,0,0.0
34.375,-123.875,0,0.0
34.375,-123.625,0,0.0
34.375,-123.375,0,0.0
34.375,-123.125,0,0.0
34.375,-122.875,0,0.0
34.375,-122.625,0,0.0
34.375,-122.375,0,0.0
34.375,-122.125,0,0.0
34.375,-121.875,0,0.0
34.375,-121.625,0,0.0
34.375,-121.375,0,0.0
34.375,-121.125,0,0.0
34.375,-120.875,0,0.0
34.375,-120.625,0,0.0
34.375,-120.375,0,0.0
34.375,-120.125,0,0.0
34.375,-119.875,0,0.0
34.375,-119.625,0,0.0
34.375,-119.375,0,0.010310227
34.375,-119.125,0,0.010061477
34.375,-118.875,0,0.010072727
