Unnamed: 0,lat,lon,Qair_f_inst
0,33.0,-116.875,0.007092592
1,33.0,-116.25,0.005661883
2,33.0,-115.625,0.005622043
3,33.0,-115.0,0.00549774
4,33.5,-117.5,0.008524616
5,33.5,-116.875,0.0063812025
6,33.5,-116.25,0.005351881
7,33.5,-115.625,0.005199815
8,33.5,-115.0,0.0049111056
9,34.0,-118.125,0.007907686
10,34.0,-117.5,0.007328842
11,34.0,-116.875,0.0058284127
12,34.0,-116.25,0.004656114
13,34.0,-115.625,0.0043282607
14,34.0,-115.0,0.004195592
15,34.5,-120.0,0.0074000233
16,34.5,-119.375,0.0061027706
17,34.5,-118.75,0.005681328
18,34.5,-118.125,0.005406713
19,34.5,-117.5,0.0048046866
20,34.5,-116.875,0.004122497
21,34.5,-116.25,0.0035049028
22,34.5,-115.625,0.0030865574
23,34.5,-115.0,0.0029854423
24,35.0,-120.625,0.007293742
25,35.0,-120.0,0.0051075886
26,35.0,-119.375,0.004138785
27,35.0,-118.75,0.003899949
28,35.0,-118.125,0.0037993176
29,35.0,-117.5,0.003851828
30,35.0,-116.875,0.0036891028
31,35.0,-116.25,0.0030104571
32,35.0,-115.625,0.0022862998
33,35.0,-115.0,0.0021676628
34,35.5,-120.625,0.0063492525
35,35.5,-120.0,0.0048051844
36,35.5,-119.375,0.004493061
37,35.5,-118.75,0.003939954
38,35.5,-118.125,0.003353687
39,35.5,-117.5,0.0033220267
40,35.5,-116.875,0.003127776
41,35.5,-116.25,0.0024850827
42,35.5,-115.625,0.0020529297
43,36.0,-121.25,0.005061202
44,36.0,-120.625,0.004155602
45,36.0,-120.0,0.003932644
46,36.0,-119.375,0.0046693827
47,36.0,-118.75,0.003506764
48,36.0,-118.125,0.00317199
49,36.0,-117.5,0.0030023372
50,36.0,-116.875,0.0026011714
51,36.0,-116.25,0.0021692042
52,36.5,-121.875,0.0070681367
53,36.5,-121.25,0.0038261323
54,36.5,-120.625,0.003030297
55,36.5,-120.0,0.0034033034
56,36.5,-119.375,0.0037188518
57,36.5,-118.75,0.0032461463
58,36.5,-118.125,0.003107624
59,36.5,-117.5,0.0025437337
60,36.5,-116.875,0.0021699963
61,37.0,-121.875,0.005988894
62,37.0,-121.25,0.003975784
63,37.0,-120.625,0.0034916261
64,37.0,-120.0,0.0034280352
65,37.0,-119.375,0.0030510416
66,37.0,-118.75,0.0028318677
67,37.0,-118.125,0.0028008174
68,37.0,-117.5,0.0020762137
69,37.5,-121.875,0.0055000815
70,37.5,-121.25,0.0035036302
71,37.5,-120.625,0.0034494046
72,37.5,-120.0,0.0031364493
73,37.5,-119.375,0.0026712583
74,37.5,-118.75,0.002393425
75,37.5,-118.125,0.0022173214
76,38.0,-122.5,0.0064633507
77,38.0,-121.875,0.006054699
78,38.0,-121.25,0.0047430065
79,38.0,-120.625,0.0034791538
80,38.0,-120.0,0.0028288194
81,38.0,-119.375,0.002496478
82,38.0,-118.75,0.0020828212
83,38.5,-123.125,0.0058219586
84,38.5,-122.5,0.004540474
85,38.5,-121.875,0.0048838244
86,38.5,-121.25,0.0046018246
87,38.5,-120.625,0.0030562861
88,38.5,-120.0,0.0025104498
89,38.5,-119.375,0.002082064
90,39.0,-123.125,0.00417563
91,39.0,-122.5,0.003544619
92,39.0,-121.875,0.003830992
93,39.0,-121.25,0.003567473
94,39.0,-120.625,0.0028141579
95,39.5,-123.75,0.0062597916
96,39.5,-123.125,0.0040859818
97,39.5,-122.5,0.0033701258
98,39.5,-121.875,0.0032509817
99,39.5,-121.25,0.0029290793
100,39.5,-120.625,0.0027509576
101,40.0,-123.75,0.0062468336
102,40.0,-123.125,0.004573273
103,40.0,-122.5,0.00339971
104,40.0,-121.875,0.0028332982
105,40.0,-121.25,0.0027186803
106,40.0,-120.625,0.0025746038
107,40.0,-120.0,0.0024342544
108,40.5,-124.375,0.0072506773
109,40.5,-123.75,0.0064745285
110,40.5,-123.125,0.004862144
111,40.5,-122.5,0.0040743607
112,40.5,-121.875,0.002881675
113,40.5,-121.25,0.0026967954
114,40.5,-120.625,0.0024746547
115,40.5,-120.0,0.0023119447
116,41.0,-123.75,0.0060805944
117,41.0,-123.125,0.004716053
118,41.0,-122.5,0.0043156664
119,41.0,-121.875,0.0032032833
120,41.0,-121.25,0.0026733035
121,41.0,-120.625,0.0024036032
122,41.0,-120.0,0.0022327937
123,41.5,-123.75,0.0065749898
124,41.5,-123.125,0.00546789
125,41.5,-122.5,0.00499083
126,41.5,-121.875,0.004449503
127,41.5,-121.25,0.0028343024
128,41.5,-120.625,0.0024414423
129,41.5,-120.0,0.0023039484
130,42.0,-123.125,0.0065454836
131,42.0,-122.5,0.0058679846
132,42.0,-121.875,0.005097083
