Unnamed: 0,lat,lon,AvgSurfT_tavg
0,33.0,-116.875,298.64194
1,33.0,-116.25,302.7855
2,33.0,-115.625,306.229
3,33.0,-115.0,304.91153
4,33.5,-117.5,297.08682
5,33.5,-116.875,298.4077
6,33.5,-116.25,302.34213
7,33.5,-115.625,303.318
8,33.5,-115.0,304.15692
9,34.0,-118.125,297.36563
10,34.0,-117.5,297.8383
11,34.0,-116.875,297.6412
12,34.0,-116.25,299.22333
13,34.0,-115.625,302.70035
14,34.0,-115.0,304.62842
15,34.5,-120.0,296.24008
16,34.5,-119.375,297.9956
17,34.5,-118.75,297.68878
18,34.5,-118.125,298.19998
19,34.5,-117.5,297.4231
20,34.5,-116.875,298.08386
21,34.5,-116.25,301.8856
22,34.5,-115.625,304.60617
23,34.5,-115.0,304.19733
24,35.0,-120.625,293.97153
25,35.0,-120.0,299.27652
26,35.0,-119.375,300.2884
27,35.0,-118.75,300.3784
28,35.0,-118.125,299.33398
29,35.0,-117.5,300.4786
30,35.0,-116.875,301.6251
31,35.0,-116.25,304.72433
32,35.0,-115.625,301.5101
33,35.0,-115.0,303.14084
34,35.5,-120.625,296.3866
35,35.5,-120.0,300.6033
36,35.5,-119.375,304.0139
37,35.5,-118.75,301.239
38,35.5,-118.125,299.68277
39,35.5,-117.5,303.64752
40,35.5,-116.875,303.60568
41,35.5,-116.25,305.42807
42,35.5,-115.625,302.23865
43,36.0,-121.25,298.73633
44,36.0,-120.625,300.55783
45,36.0,-120.0,302.8842
46,36.0,-119.375,304.00723
47,36.0,-118.75,300.26553
48,36.0,-118.125,297.54852
49,36.0,-117.5,304.0215
50,36.0,-116.875,306.7047
51,36.0,-116.25,306.57828
52,36.5,-121.875,292.65848
53,36.5,-121.25,301.5113
54,36.5,-120.625,304.09946
55,36.5,-120.0,305.3853
56,36.5,-119.375,305.05478
57,36.5,-118.75,297.9943
58,36.5,-118.125,295.3104
59,36.5,-117.5,305.5215
60,36.5,-116.875,307.57672
61,37.0,-121.875,294.59424
62,37.0,-121.25,302.0025
63,37.0,-120.625,304.61655
64,37.0,-120.0,305.67502
65,37.0,-119.375,302.5676
66,37.0,-118.75,292.5291
67,37.0,-118.125,297.2633
68,37.0,-117.5,303.77182
69,37.5,-121.875,298.60977
70,37.5,-121.25,303.94327
71,37.5,-120.625,306.18494
72,37.5,-120.0,304.04797
73,37.5,-119.375,294.74905
74,37.5,-118.75,291.31927
75,37.5,-118.125,297.61224
76,38.0,-122.5,292.58444
77,38.0,-121.875,298.3855
78,38.0,-121.25,303.2553
79,38.0,-120.625,305.2031
80,38.0,-120.0,299.4261
81,38.0,-119.375,291.76544
82,38.0,-118.75,294.50613
83,38.5,-123.125,295.67783
84,38.5,-122.5,301.51157
85,38.5,-121.875,302.43637
86,38.5,-121.25,304.319
87,38.5,-120.625,303.98672
88,38.5,-120.0,297.0785
89,38.5,-119.375,294.41046
90,39.0,-123.125,302.75626
91,39.0,-122.5,306.47495
92,39.0,-121.875,307.19766
93,39.0,-121.25,306.28217
94,39.0,-120.625,302.38535
95,39.5,-123.75,296.15472
96,39.5,-123.125,303.42648
97,39.5,-122.5,307.53473
98,39.5,-121.875,309.07602
99,39.5,-121.25,305.91354
100,39.5,-120.625,299.80545
101,40.0,-123.75,300.32828
102,40.0,-123.125,302.60162
103,40.0,-122.5,308.07834
104,40.0,-121.875,308.10275
105,40.0,-121.25,301.58115
106,40.0,-120.625,299.66342
107,40.0,-120.0,300.2825
108,40.5,-124.375,290.07755
109,40.5,-123.75,301.6068
110,40.5,-123.125,303.01273
111,40.5,-122.5,307.55124
112,40.5,-121.875,305.50888
113,40.5,-121.25,299.06805
114,40.5,-120.625,300.10495
115,40.5,-120.0,301.65442
116,41.0,-123.75,300.83163
117,41.0,-123.125,301.04495
118,41.0,-122.5,302.8402
119,41.0,-121.875,303.27426
120,41.0,-121.25,301.3047
121,41.0,-120.625,299.27042
122,41.0,-120.0,299.44125
123,41.5,-123.75,299.8139
124,41.5,-123.125,299.77927
125,41.5,-122.5,300.0797
126,41.5,-121.875,299.0872
127,41.5,-121.25,300.57816
128,41.5,-120.625,300.2271
129,41.5,-120.0,299.40463
130,42.0,-123.125,298.71408
131,42.0,-122.5,299.26248
132,42.0,-121.875,298.81644
