,lat,lon,TLML
0,33.0,-116.875,280.66245
1,33.0,-116.25,280.43796
2,33.0,-115.625,282.96585
3,33.0,-115.0,280.3385
4,33.5,-117.5,284.90656
5,33.5,-116.875,279.07352
6,33.5,-116.25,280.4041
7,33.5,-115.625,280.0966
8,33.5,-115.0,279.20584
9,34.0,-118.125,282.81625
10,34.0,-117.5,281.46097
11,34.0,-116.875,278.41013
12,34.0,-116.25,276.90543
13,34.0,-115.625,278.2769
14,34.0,-115.0,278.64468
15,34.5,-120.0,284.12326
16,34.5,-119.375,280.01434
17,34.5,-118.75,278.66843
18,34.5,-118.125,278.53006
19,34.5,-117.5,276.93454
20,34.5,-116.875,275.915
21,34.5,-116.25,277.6993
22,34.5,-115.625,278.51758
23,34.5,-115.0,277.0621
24,35.0,-120.625,284.43448
25,35.0,-120.0,281.40073
26,35.0,-119.375,279.664
27,35.0,-118.75,277.73416
28,35.0,-118.125,276.48212
29,35.0,-117.5,277.29385
30,35.0,-116.875,277.08658
31,35.0,-116.25,278.62665
32,35.0,-115.625,274.69675
33,35.0,-115.0,274.54276
34,35.5,-120.625,281.7247
35,35.5,-120.0,281.3901
36,35.5,-119.375,283.8225
37,35.5,-118.75,280.31354
38,35.5,-118.125,275.16092
39,35.5,-117.5,277.39893
40,35.5,-116.875,277.09955
41,35.5,-116.25,277.83286
42,35.5,-115.625,273.59277
43,36.0,-121.25,280.8875
44,36.0,-120.625,280.3964
45,36.0,-120.0,281.1148
46,36.0,-119.375,283.44385
47,36.0,-118.75,280.1863
48,36.0,-118.125,272.2244
49,36.0,-117.5,275.56848
50,36.0,-116.875,277.50616
51,36.0,-116.25,277.56552
52,36.5,-121.875,283.7329
53,36.5,-121.25,279.7867
54,36.5,-120.625,279.791
55,36.5,-120.0,281.4644
56,36.5,-119.375,284.1213
57,36.5,-118.75,275.52982
58,36.5,-118.125,270.3421
59,36.5,-117.5,276.06564
60,36.5,-116.875,276.83325
61,37.0,-121.875,281.47192
62,37.0,-121.25,279.9985
63,37.0,-120.625,281.45792
64,37.0,-120.0,282.8444
65,37.0,-119.375,279.8174
66,37.0,-118.75,268.79398
67,37.0,-118.125,269.88135
68,37.0,-117.5,274.13025
69,37.5,-121.875,279.66843
70,37.5,-121.25,279.8845
71,37.5,-120.625,281.87094
72,37.5,-120.0,280.0702
73,37.5,-119.375,271.0406
74,37.5,-118.75,268.44913
75,37.5,-118.125,270.35837
76,38.0,-122.5,279.4318
77,38.0,-121.875,278.65158
78,38.0,-121.25,280.49435
79,38.0,-120.625,280.3635
80,38.0,-120.0,274.447
81,38.0,-119.375,268.3189
82,38.0,-118.75,269.85703
83,38.5,-123.125,278.9462
84,38.5,-122.5,277.32632
85,38.5,-121.875,277.99527
86,38.5,-121.25,280.66196
87,38.5,-120.625,277.69516
88,38.5,-120.0,270.61984
89,38.5,-119.375,270.62616
90,39.0,-123.125,276.61508
91,39.0,-122.5,275.5019
92,39.0,-121.875,278.60934
93,39.0,-121.25,279.97455
94,39.0,-120.625,274.53952
95,39.5,-123.75,279.029
96,39.5,-123.125,274.6081
97,39.5,-122.5,275.4242
98,39.5,-121.875,279.32706
99,39.5,-121.25,276.18863
100,39.5,-120.625,270.24628
101,40.0,-123.75,277.41086
102,40.0,-123.125,272.5008
103,40.0,-122.5,275.30716
104,40.0,-121.875,276.4885
105,40.0,-121.25,269.1562
106,40.0,-120.625,266.80002
107,40.0,-120.0,266.3086
108,40.5,-124.375,280.0934
109,40.5,-123.75,275.06467
110,40.5,-123.125,271.84286
111,40.5,-122.5,275.48566
112,40.5,-121.875,273.5642
113,40.5,-121.25,265.2611
114,40.5,-120.625,263.2364
115,40.5,-120.0,264.4642
116,41.0,-123.75,275.11783
117,41.0,-123.125,270.1592
118,41.0,-122.5,270.91214
119,41.0,-121.875,270.31345
120,41.0,-121.25,267.0599
121,41.0,-120.625,263.46265
122,41.0,-120.0,263.41324
123,41.5,-123.75,275.15112
124,41.5,-123.125,271.01627
125,41.5,-122.5,268.82498
126,41.5,-121.875,265.07047
127,41.5,-121.25,264.95163
128,41.5,-120.625,264.7744
129,41.5,-120.0,263.89407
130,42.0,-123.125,269.19254
131,42.0,-122.5,266.4098
132,42.0,-121.875,264.22433
