Unnamed: 0,lat,lon,
0,33.0,-116.875,288.86267
1,33.0,-116.25,288.2146
2,33.0,-115.625,289.874
3,33.0,-115.0,288.22552
4,33.5,-117.5,291.05045
5,33.5,-116.875,288.72824
6,33.5,-116.25,289.60184
7,33.5,-115.625,288.5637
8,33.5,-115.0,287.67258
9,34.0,-118.125,290.3701
10,34.0,-117.5,290.0898
11,34.0,-116.875,288.9189
12,34.0,-116.25,287.23807
13,34.0,-115.625,287.27795
14,34.0,-115.0,287.2705
15,34.5,-120.0,286.36298
16,34.5,-119.375,285.02457
17,34.5,-118.75,285.39014
18,34.5,-118.125,287.66153
19,34.5,-117.5,286.61264
20,34.5,-116.875,285.47687
21,34.5,-116.25,285.38034
22,34.5,-115.625,287.52814
23,34.5,-115.0,286.41357
24,35.0,-120.625,285.61722
25,35.0,-120.0,283.1635
26,35.0,-119.375,281.20178
27,35.0,-118.75,282.8004
28,35.0,-118.125,286.68634
29,35.0,-117.5,286.8818
30,35.0,-116.875,286.1238
31,35.0,-116.25,285.80826
32,35.0,-115.625,285.13818
33,35.0,-115.0,284.64786
34,35.5,-120.625,284.53784
35,35.5,-120.0,283.45834
36,35.5,-119.375,284.11758
37,35.5,-118.75,284.28986
38,35.5,-118.125,286.0566
39,35.5,-117.5,287.21335
40,35.5,-116.875,285.16217
41,35.5,-116.25,285.15503
42,35.5,-115.625,284.43622
43,36.0,-121.25,284.6051
44,36.0,-120.625,283.93527
45,36.0,-120.0,283.84872
46,36.0,-119.375,284.63208
47,36.0,-118.75,284.6821
48,36.0,-118.125,281.81558
49,36.0,-117.5,285.53818
50,36.0,-116.875,285.60165
51,36.0,-116.25,285.17236
52,36.5,-121.875,285.4377
53,36.5,-121.25,283.71417
54,36.5,-120.625,283.6454
55,36.5,-120.0,284.41644
56,36.5,-119.375,285.67822
57,36.5,-118.75,282.86887
58,36.5,-118.125,278.74142
59,36.5,-117.5,285.89694
60,36.5,-116.875,285.08475
61,37.0,-121.875,284.96915
62,37.0,-121.25,284.1006
63,37.0,-120.625,284.69763
64,37.0,-120.0,285.2994
65,37.0,-119.375,285.17227
66,37.0,-118.75,277.46524
67,37.0,-118.125,278.7394
68,37.0,-117.5,282.5125
69,37.5,-121.875,284.38522
70,37.5,-121.25,284.0792
71,37.5,-120.625,284.89426
72,37.5,-120.0,285.41922
73,37.5,-119.375,278.24503
74,37.5,-118.75,275.56747
75,37.5,-118.125,278.7971
76,38.0,-122.5,283.98868
77,38.0,-121.875,284.28217
78,38.0,-121.25,284.52356
79,38.0,-120.625,285.13434
80,38.0,-120.0,282.07346
81,38.0,-119.375,276.00845
82,38.0,-118.75,277.24893
83,38.5,-123.125,284.0021
84,38.5,-122.5,282.89658
85,38.5,-121.875,283.88217
86,38.5,-121.25,284.70572
87,38.5,-120.625,283.83286
88,38.5,-120.0,279.14215
89,38.5,-119.375,278.70844
90,39.0,-123.125,283.10123
91,39.0,-122.5,282.61423
92,39.0,-121.875,283.94873
93,39.0,-121.25,285.03867
94,39.0,-120.625,281.3585
95,39.5,-123.75,283.5496
96,39.5,-123.125,281.57303
97,39.5,-122.5,283.8848
98,39.5,-121.875,284.796
99,39.5,-121.25,282.9733
100,39.5,-120.625,276.77286
101,40.0,-123.75,282.47498
102,40.0,-123.125,280.1636
103,40.0,-122.5,284.18222
104,40.0,-121.875,283.25137
105,40.0,-121.25,278.21057
106,40.0,-120.625,275.2952
107,40.0,-120.0,276.15167
108,40.5,-124.375,283.6295
109,40.5,-123.75,281.4578
110,40.5,-123.125,279.61575
111,40.5,-122.5,281.9169
112,40.5,-121.875,280.38754
113,40.5,-121.25,275.8746
114,40.5,-120.625,274.69778
115,40.5,-120.0,274.57336
116,41.0,-123.75,281.77832
117,41.0,-123.125,278.21957
118,41.0,-122.5,278.25024
119,41.0,-121.875,278.4354
120,41.0,-121.25,277.88263
121,41.0,-120.625,275.69495
122,41.0,-120.0,274.99396
123,41.5,-123.75,281.2257
124,41.5,-123.125,278.55927
125,41.5,-122.5,277.7174
126,41.5,-121.875,275.42294
127,41.5,-121.25,275.75925
128,41.5,-120.625,275.7889
129,41.5,-120.0,275.12155
130,42.0,-123.125,279.25616
131,42.0,-122.5,278.51248
132,42.0,-121.875,276.36755
