,lat,lon,SPEEDLML
0,33.0,-116.875,3.6178577
1,33.0,-116.25,3.6564214
2,33.0,-115.625,2.6684818
3,33.0,-115.0,4.2968063
4,33.5,-117.5,3.935377
5,33.5,-116.875,3.2176695
6,33.5,-116.25,3.474518
7,33.5,-115.625,2.7896545
8,33.5,-115.0,3.6579263
9,34.0,-118.125,4.3494267
10,34.0,-117.5,3.725166
11,34.0,-116.875,3.4634783
12,34.0,-116.25,3.960307
13,34.0,-115.625,3.6429894
14,34.0,-115.0,3.602579
15,34.5,-120.0,7.5465426
16,34.5,-119.375,5.4985237
17,34.5,-118.75,5.7161484
18,34.5,-118.125,5.952068
19,34.5,-117.5,4.3038335
20,34.5,-116.875,3.8588867
21,34.5,-116.25,4.252456
22,34.5,-115.625,3.9071407
23,34.5,-115.0,4.028318
24,35.0,-120.625,6.8948154
25,35.0,-120.0,5.968935
26,35.0,-119.375,4.631693
27,35.0,-118.75,4.7654157
28,35.0,-118.125,6.001379
29,35.0,-117.5,4.2844534
30,35.0,-116.875,3.8498156
31,35.0,-116.25,3.6321926
32,35.0,-115.625,3.2012987
33,35.0,-115.0,3.027283
34,35.5,-120.625,5.490989
35,35.5,-120.0,5.2093215
36,35.5,-119.375,4.380816
37,35.5,-118.75,3.767398
38,35.5,-118.125,5.5985904
39,35.5,-117.5,4.4499216
40,35.5,-116.875,2.912996
41,35.5,-116.25,2.8842185
42,35.5,-115.625,2.7030246
43,36.0,-121.25,6.6551127
44,36.0,-120.625,5.5782166
45,36.0,-120.0,6.2343974
46,36.0,-119.375,4.373677
47,36.0,-118.75,4.8072677
48,36.0,-118.125,4.6685004
49,36.0,-117.5,4.10583
50,36.0,-116.875,2.572612
51,36.0,-116.25,3.1054459
52,36.5,-121.875,6.3890605
53,36.5,-121.25,4.944736
54,36.5,-120.625,6.6360207
55,36.5,-120.0,7.0804744
56,36.5,-119.375,4.798817
57,36.5,-118.75,4.542594
58,36.5,-118.125,3.849407
59,36.5,-117.5,3.7460604
60,36.5,-116.875,3.3252394
61,37.0,-121.875,5.4081397
62,37.0,-121.25,5.4186473
63,37.0,-120.625,6.9468975
64,37.0,-120.0,5.907925
65,37.0,-119.375,5.1187396
66,37.0,-118.75,4.028731
67,37.0,-118.125,3.53172
68,37.0,-117.5,4.2094398
69,37.5,-121.875,5.5027947
70,37.5,-121.25,6.3823915
71,37.5,-120.625,6.6145515
72,37.5,-120.0,5.4249663
73,37.5,-119.375,4.639481
74,37.5,-118.75,3.8476546
75,37.5,-118.125,3.8017042
76,38.0,-122.5,6.490612
77,38.0,-121.875,7.1389394
78,38.0,-121.25,5.9348164
79,38.0,-120.625,5.1713867
80,38.0,-120.0,4.6452975
81,38.0,-119.375,4.0848575
82,38.0,-118.75,3.659151
83,38.5,-123.125,7.2487016
84,38.5,-122.5,6.003546
85,38.5,-121.875,5.939049
86,38.5,-121.25,4.8402514
87,38.5,-120.625,4.0670094
88,38.5,-120.0,4.102879
89,38.5,-119.375,3.991517
90,39.0,-123.125,4.9981327
91,39.0,-122.5,5.2786455
92,39.0,-121.875,4.9936004
93,39.0,-121.25,4.9900537
94,39.0,-120.625,3.7419214
95,39.5,-123.75,4.725145
96,39.5,-123.125,3.7163413
97,39.5,-122.5,4.017096
98,39.5,-121.875,5.5869756
99,39.5,-121.25,4.713753
100,39.5,-120.625,3.839528
101,40.0,-123.75,3.9394286
102,40.0,-123.125,3.0431442
103,40.0,-122.5,3.9818752
104,40.0,-121.875,6.765427
105,40.0,-121.25,4.2763314
106,40.0,-120.625,4.2296147
107,40.0,-120.0,4.184061
108,40.5,-124.375,4.9858193
109,40.5,-123.75,3.5804787
110,40.5,-123.125,3.028498
111,40.5,-122.5,3.5947685
112,40.5,-121.875,5.6768107
113,40.5,-121.25,4.542294
114,40.5,-120.625,4.393084
115,40.5,-120.0,4.6291795
116,41.0,-123.75,3.129783
117,41.0,-123.125,3.4138699
118,41.0,-122.5,3.4374669
119,41.0,-121.875,3.3901482
120,41.0,-121.25,4.6903543
121,41.0,-120.625,4.7425885
122,41.0,-120.0,5.3950925
123,41.5,-123.75,2.8600817
124,41.5,-123.125,3.5467727
125,41.5,-122.5,3.787288
126,41.5,-121.875,4.0686913
127,41.5,-121.25,4.453546
128,41.5,-120.625,4.925237
129,41.5,-120.0,5.0572166
130,42.0,-123.125,3.278456
131,42.0,-122.5,3.435393
132,42.0,-121.875,4.193753
