Unnamed: 0,lat,lon,AvgSurfT_tavg
0,33.0,-116.875,-265.35209999999995
1,33.0,-116.25,-265.73166999999995
2,33.0,-115.625,-262.42862999999994
3,33.0,-115.0,-263.9472999999999
4,33.5,-117.5,-263.07804999999996
5,33.5,-116.875,-268.5028
6,33.5,-116.25,-265.82303999999993
7,33.5,-115.625,-264.97916999999995
8,33.5,-115.0,-265.07132999999993
9,34.0,-118.125,-264.49924999999996
10,34.0,-117.5,-266.9699499999999
11,34.0,-116.875,-269.26706999999993
12,34.0,-116.25,-268.51793
13,34.0,-115.625,-266.60663999999997
14,34.0,-115.0,-265.67362999999995
15,34.5,-120.0,-264.96955999999994
16,34.5,-119.375,-268.08687
17,34.5,-118.75,-268.31113999999997
18,34.5,-118.125,-268.42484999999994
19,34.5,-117.5,-269.77036999999996
20,34.5,-116.875,-270.80744999999996
21,34.5,-116.25,-268.27097999999995
22,34.5,-115.625,-266.44947999999994
23,34.5,-115.0,-267.3015
24,35.0,-120.625,-264.59653999999995
25,35.0,-120.0,-268.93749999999994
26,35.0,-119.375,-269.37715
27,35.0,-118.75,-270.31039999999996
28,35.0,-118.125,-270.82939999999996
29,35.0,-117.5,-269.65029999999996
30,35.0,-116.875,-269.72757999999993
31,35.0,-116.25,-267.85173
32,35.0,-115.625,-270.39914999999996
33,35.0,-115.0,-269.94584
34,35.5,-120.625,-266.37609999999995
35,35.5,-120.0,-267.74979999999994
36,35.5,-119.375,-265.97956999999997
37,35.5,-118.75,-270.22939999999994
38,35.5,-118.125,-272.38539999999995
39,35.5,-117.5,-269.99979999999994
40,35.5,-116.875,-270.38632999999993
41,35.5,-116.25,-268.91655
42,35.5,-115.625,-271.67524
43,36.0,-121.25,-266.15723999999994
44,36.0,-120.625,-267.68046
45,36.0,-120.0,-266.88609999999994
46,36.0,-119.375,-266.33669999999995
47,36.0,-118.75,-272.13053999999994
48,36.0,-118.125,-275.8027799999999
49,36.0,-117.5,-272.18033999999994
50,36.0,-116.875,-270.41873999999996
51,36.0,-116.25,-269.47641999999996
52,36.5,-121.875,-264.27881999999994
53,36.5,-121.25,-268.7320399999999
54,36.5,-120.625,-268.57908
55,36.5,-120.0,-266.61466999999993
56,36.5,-119.375,-266.49974
57,36.5,-118.75,-275.39627999999993
58,36.5,-118.125,-278.28891999999996
59,36.5,-117.5,-271.74893999999995
60,36.5,-116.875,-270.6428599999999
61,37.0,-121.875,-266.53855999999996
62,37.0,-121.25,-268.34929999999997
63,37.0,-120.625,-267.14401999999995
64,37.0,-120.0,-266.52524999999997
65,37.0,-119.375,-271.24559999999997
66,37.0,-118.75,-281.22873999999996
67,37.0,-118.125,-277.57079999999996
68,37.0,-117.5,-273.41489999999993
69,37.5,-121.875,-268.69644999999997
70,37.5,-121.25,-268.82352999999995
71,37.5,-120.625,-267.2288
72,37.5,-120.0,-269.84819999999996
73,37.5,-119.375,-278.88001999999994
74,37.5,-118.75,-281.98047999999994
75,37.5,-118.125,-276.27849999999995
76,38.0,-122.5,-267.46879999999993
77,38.0,-121.875,-269.40775999999994
78,38.0,-121.25,-268.07032
79,38.0,-120.625,-268.79831999999993
80,38.0,-120.0,-275.78729999999996
81,38.0,-119.375,-282.59632999999997
82,38.0,-118.75,-278.76469999999995
83,38.5,-123.125,-267.58167999999995
84,38.5,-122.5,-269.80339999999995
85,38.5,-121.875,-269.5456
86,38.5,-121.25,-267.73355999999995
87,38.5,-120.625,-271.76129999999995
88,38.5,-120.0,-279.33737999999994
89,38.5,-119.375,-279.85562999999996
90,39.0,-123.125,-270.06174999999996
91,39.0,-122.5,-271.0798199999999
92,39.0,-121.875,-269.06107999999995
93,39.0,-121.25,-268.52714
94,39.0,-120.625,-274.76167
95,39.5,-123.75,-267.26721999999995
96,39.5,-123.125,-272.38719999999995
97,39.5,-122.5,-270.95532999999995
98,39.5,-121.875,-268.71639999999996
99,39.5,-121.25,-271.31363999999996
100,39.5,-120.625,-277.10324999999995
101,40.0,-123.75,-268.93494999999996
102,40.0,-123.125,-273.70163999999994
103,40.0,-122.5,-270.74875999999995
104,40.0,-121.875,-270.29404999999997
105,40.0,-121.25,-275.62787999999995
106,40.0,-120.625,-277.72139999999996
107,40.0,-120.0,-277.6826
108,40.5,-124.375,-265.09921999999995
109,40.5,-123.75,-270.69755
110,40.5,-123.125,-274.19379999999995
111,40.5,-122.5,-271.83928
112,40.5,-121.875,-272.85053999999997
113,40.5,-121.25,-277.81046999999995
114,40.5,-120.625,-278.28899999999993
115,40.5,-120.0,-278.27867
116,41.0,-123.75,-270.44489999999996
117,41.0,-123.125,-275.49116
118,41.0,-122.5,-275.47306999999995
119,41.0,-121.875,-275.08512999999994
120,41.0,-121.25,-276.2766
121,41.0,-120.625,-279.38867999999997
122,41.0,-120.0,-280.04215999999997
123,41.5,-123.75,-270.83959999999996
124,41.5,-123.125,-274.66059999999993
125,41.5,-122.5,-276.8299999999999
126,41.5,-121.875,-279.12253999999996
127,41.5,-121.25,-278.25366999999994
128,41.5,-120.625,-279.43265999999994
129,41.5,-120.0,-280.58419999999995
130,42.0,-123.125,-274.03689999999995
131,42.0,-122.5,-276.16464999999994
132,42.0,-121.875,-278.63492999999994
