,lat,lon,SPEEDLML
0,33.0,-116.875,3.0408084
1,33.0,-116.25,4.8578997
2,33.0,-115.625,4.376386
3,33.0,-115.0,3.55427
4,33.5,-117.5,3.2640474
5,33.5,-116.875,3.2509718
6,33.5,-116.25,3.716524
7,33.5,-115.625,3.3799183
8,33.5,-115.0,3.5543807
9,34.0,-118.125,2.4840817
10,34.0,-117.5,2.5890121
11,34.0,-116.875,2.8801572
12,34.0,-116.25,3.0644524
13,34.0,-115.625,3.02703
14,34.0,-115.0,2.8806295
15,34.5,-120.0,3.1766565
16,34.5,-119.375,2.6280751
17,34.5,-118.75,2.641218
18,34.5,-118.125,3.1117518
19,34.5,-117.5,2.5408676
20,34.5,-116.875,3.189683
21,34.5,-116.25,3.5478182
22,34.5,-115.625,3.688525
23,34.5,-115.0,3.031212
24,35.0,-120.625,2.8431196
25,35.0,-120.0,3.1389704
26,35.0,-119.375,3.0755036
27,35.0,-118.75,2.3650753
28,35.0,-118.125,3.4773338
29,35.0,-117.5,3.0217178
30,35.0,-116.875,2.829306
31,35.0,-116.25,2.9158049
32,35.0,-115.625,3.4040375
33,35.0,-115.0,3.1408722
34,35.5,-120.625,3.0069168
35,35.5,-120.0,3.332099
36,35.5,-119.375,4.304901
37,35.5,-118.75,2.9527757
38,35.5,-118.125,3.2693841
39,35.5,-117.5,3.4878552
40,35.5,-116.875,2.648784
41,35.5,-116.25,2.51623
42,35.5,-115.625,3.7475097
43,36.0,-121.25,3.3638084
44,36.0,-120.625,3.1602585
45,36.0,-120.0,3.6422822
46,36.0,-119.375,4.356408
47,36.0,-118.75,3.7446315
48,36.0,-118.125,2.8124504
49,36.0,-117.5,3.107107
50,36.0,-116.875,2.4875295
51,36.0,-116.25,3.259752
52,36.5,-121.875,2.3405828
53,36.5,-121.25,2.9757938
54,36.5,-120.625,3.9394703
55,36.5,-120.0,3.409194
56,36.5,-119.375,4.9145837
57,36.5,-118.75,3.063795
58,36.5,-118.125,2.7388957
59,36.5,-117.5,2.7689095
60,36.5,-116.875,2.5221355
61,37.0,-121.875,2.5453463
62,37.0,-121.25,3.4909265
63,37.0,-120.625,3.933028
64,37.0,-120.0,4.1840005
65,37.0,-119.375,4.1781516
66,37.0,-118.75,3.0567553
67,37.0,-118.125,3.0817766
68,37.0,-117.5,2.809858
69,37.5,-121.875,3.7250035
70,37.5,-121.25,3.7526767
71,37.5,-120.625,3.712355
72,37.5,-120.0,4.0051446
73,37.5,-119.375,3.1676588
74,37.5,-118.75,3.8170497
75,37.5,-118.125,3.1274405
76,38.0,-122.5,4.179948
77,38.0,-121.875,5.811302
78,38.0,-121.25,4.48698
79,38.0,-120.625,3.8800757
80,38.0,-120.0,3.9785738
81,38.0,-119.375,3.118749
82,38.0,-118.75,3.7496865
83,38.5,-123.125,5.042353
84,38.5,-122.5,3.9084997
85,38.5,-121.875,4.4667745
86,38.5,-121.25,4.198417
87,38.5,-120.625,4.083141
88,38.5,-120.0,3.1744378
89,38.5,-119.375,2.9622326
90,39.0,-123.125,3.6726863
91,39.0,-122.5,3.7790558
92,39.0,-121.875,2.5990536
93,39.0,-121.25,3.7721846
94,39.0,-120.625,3.4913595
95,39.5,-123.75,4.572779
96,39.5,-123.125,2.9576921
97,39.5,-122.5,3.956208
98,39.5,-121.875,2.9243364
99,39.5,-121.25,3.6664238
100,39.5,-120.625,3.0303085
101,40.0,-123.75,4.0215364
102,40.0,-123.125,3.393152
103,40.0,-122.5,4.7006416
104,40.0,-121.875,4.194798
105,40.0,-121.25,3.1718795
106,40.0,-120.625,3.2009485
107,40.0,-120.0,2.857783
108,40.5,-124.375,9.208341
109,40.5,-123.75,3.270919
110,40.5,-123.125,3.574979
111,40.5,-122.5,3.756547
112,40.5,-121.875,4.7597156
113,40.5,-121.25,3.9771414
114,40.5,-120.625,3.492625
115,40.5,-120.0,2.9107397
116,41.0,-123.75,2.3865464
117,41.0,-123.125,2.6876738
118,41.0,-122.5,3.1963065
119,41.0,-121.875,3.3136294
120,41.0,-121.25,4.524085
121,41.0,-120.625,4.282494
122,41.0,-120.0,3.8997345
123,41.5,-123.75,3.556565
124,41.5,-123.125,2.5288637
125,41.5,-122.5,2.7490108
126,41.5,-121.875,3.936858
127,41.5,-121.25,4.4251256
128,41.5,-120.625,4.9122486
129,41.5,-120.0,4.569238
130,42.0,-123.125,3.3027022
131,42.0,-122.5,3.2375793
132,42.0,-121.875,3.7783124
