lat,lon,time,spatial_ref,SPEEDLML
33.0,-124.375,2015-08-14 00:00:00,0,0.0
33.0,-124.375,2015-08-14 01:00:00,0,0.0
33.0,-124.375,2015-08-14 02:00:00,0,0.0
33.0,-124.375,2015-08-14 03:00:00,0,0.0
33.0,-124.375,2015-08-14 04:00:00,0,0.0
33.0,-124.375,2015-08-14 05:00:00,0,0.0
33.0,-124.375,2015-08-14 06:00:00,0,0.0
33.0,-124.375,2015-08-14 07:00:00,0,0.0
33.0,-124.375,2015-08-14 08:00:00,0,0.0
33.0,-124.375,2015-08-14 09:00:00,0,0.0
33.0,-124.375,2015-08-14 10:00:00,0,0.0
33.0,-124.375,2015-08-14 11:00:00,0,0.0
33.0,-124.375,2015-08-14 12:00:00,0,0.0
33.0,-124.375,2015-08-14 13:00:00,0,0.0
33.0,-124.375,2015-08-14 14:00:00,0,0.0
33.0,-124.375,2015-08-14 15:00:00,0,0.0
33.0,-124.375,2015-08-14 16:00:00,0,0.0
33.0,-124.375,2015-08-14 17:00:00,0,0.0
33.0,-124.375,2015-08-14 18:00:00,0,0.0
33.0,-124.375,2015-08-14 19:00:00,0,0.0
33.0,-124.375,2015-08-14 20:00:00,0,0.0
33.0,-124.375,2015-08-14 21:00:00,0,0.0
33.0,-124.375,2015-08-14 22:00:00,0,0.0
33.0,-124.375,2015-08-14 23:00:00,0,0.0
33.0,-123.75,2015-08-14 00:00:00,0,0.0
33.0,-123.75,2015-08-14 01:00:00,0,0.0
33.0,-123.75,2015-08-14 02:00:00,0,0.0
33.0,-123.75,2015-08-14 03:00:00,0,0.0
33.0,-123.75,2015-08-14 04:00:00,0,0.0
33.0,-123.75,2015-08-14 05:00:00,0,0.0
33.0,-123.75,2015-08-14 06:00:00,0,0.0
33.0,-123.75,2015-08-14 07:00:00,0,0.0
33.0,-123.75,2015-08-14 08:00:00,0,0.0
33.0,-123.75,2015-08-14 09:00:00,0,0.0
33.0,-123.75,2015-08-14 10:00:00,0,0.0
33.0,-123.75,2015-08-14 11:00:00,0,0.0
33.0,-123.75,2015-08-14 12:00:00,0,0.0
33.0,-123.75,2015-08-14 13:00:00,0,0.0
33.0,-123.75,2015-08-14 14:00:00,0,0.0
33.0,-123.75,2015-08-14 15:00:00,0,0.0
33.0,-123.75,2015-08-14 16:00:00,0,0.0
33.0,-123.75,2015-08-14 17:00:00,0,0.0
33.0,-123.75,2015-08-14 18:00:00,0,0.0
33.0,-123.75,2015-08-14 19:00:00,0,0.0
33.0,-123.75,2015-08-14 20:00:00,0,0.0
33.0,-123.75,2015-08-14 21:00:00,0,0.0
33.0,-123.75,2015-08-14 22:00:00,0,0.0
33.0,-123.75,2015-08-14 23:00:00,0,0.0
33.0,-123.125,2015-08-14 00:00:00,0,0.0
33.0,-123.125,2015-08-14 01:00:00,0,0.0
33.0,-123.125,2015-08-14 02:00:00,0,0.0
33.0,-123.125,2015-08-14 03:00:00,0,0.0
33.0,-123.125,2015-08-14 04:00:00,0,0.0
33.0,-123.125,2015-08-14 05:00:00,0,0.0
33.0,-123.125,2015-08-14 06:00:00,0,0.0
33.0,-123.125,2015-08-14 07:00:00,0,0.0
33.0,-123.125,2015-08-14 08:00:00,0,0.0
33.0,-123.125,2015-08-14 09:00:00,0,0.0
33.0,-123.125,2015-08-14 10:00:00,0,0.0
33.0,-123.125,2015-08-14 11:00:00,0,0.0
33.0,-123.125,2015-08-14 12:00:00,0,0.0
33.0,-123.125,2015-08-14 13:00:00,0,0.0
33.0,-123.125,2015-08-14 14:00:00,0,0.0
33.0,-123.125,2015-08-14 15:00:00,0,0.0
33.0,-123.125,2015-08-14 16:00:00,0,0.0
33.0,-123.125,2015-08-14 17:00:00,0,0.0
33.0,-123.125,2015-08-14 18:00:00,0,0.0
33.0,-123.125,2015-08-14 19:00:00,0,0.0
33.0,-123.125,2015-08-14 20:00:00,0,0.0
33.0,-123.125,2015-08-14 21:00:00,0,0.0
33.0,-123.125,2015-08-14 22:00:00,0,0.0
33.0,-123.125,2015-08-14 23:00:00,0,0.0
33.0,-122.5,2015-08-14 00:00:00,0,0.0
33.0,-122.5,2015-08-14 01:00:00,0,0.0
33.0,-122.5,2015-08-14 02:00:00,0,0.0
33.0,-122.5,2015-08-14 03:00:00,0,0.0
33.0,-122.5,2015-08-14 04:00:00,0,0.0
33.0,-122.5,2015-08-14 05:00:00,0,0.0
33.0,-122.5,2015-08-14 06:00:00,0,0.0
33.0,-122.5,2015-08-14 07:00:00,0,0.0
33.0,-122.5,2015-08-14 08:00:00,0,0.0
33.0,-122.5,2015-08-14 09:00:00,0,0.0
33.0,-122.5,2015-08-14 10:00:00,0,0.0
33.0,-122.5,2015-08-14 11:00:00,0,0.0
33.0,-122.5,2015-08-14 12:00:00,0,0.0
33.0,-122.5,2015-08-14 13:00:00,0,0.0
33.0,-122.5,2015-08-14 14:00:00,0,0.0
33.0,-122.5,2015-08-14 15:00:00,0,0.0
33.0,-122.5,2015-08-14 16:00:00,0,0.0
33.0,-122.5,2015-08-14 17:00:00,0,0.0
33.0,-122.5,2015-08-14 18:00:00,0,0.0
33.0,-122.5,2015-08-14 19:00:00,0,0.0
33.0,-122.5,2015-08-14 20:00:00,0,0.0
33.0,-122.5,2015-08-14 21:00:00,0,0.0
33.0,-122.5,2015-08-14 22:00:00,0,0.0
33.0,-122.5,2015-08-14 23:00:00,0,0.0
33.0,-121.875,2015-08-14 00:00:00,0,0.0
33.0,-121.875,2015-08-14 01:00:00,0,0.0
33.0,-121.875,2015-08-14 02:00:00,0,0.0
33.0,-121.875,2015-08-14 03:00:00,0,0.0
33.0,-121.875,2015-08-14 04:00:00,0,0.0
33.0,-121.875,2015-08-14 05:00:00,0,0.0
33.0,-121.875,2015-08-14 06:00:00,0,0.0
33.0,-121.875,2015-08-14 07:00:00,0,0.0
33.0,-121.875,2015-08-14 08:00:00,0,0.0
33.0,-121.875,2015-08-14 09:00:00,0,0.0
33.0,-121.875,2015-08-14 10:00:00,0,0.0
33.0,-121.875,2015-08-14 11:00:00,0,0.0
33.0,-121.875,2015-08-14 12:00:00,0,0.0
33.0,-121.875,2015-08-14 13:00:00,0,0.0
33.0,-121.875,2015-08-14 14:00:00,0,0.0
33.0,-121.875,2015-08-14 15:00:00,0,0.0
33.0,-121.875,2015-08-14 16:00:00,0,0.0
33.0,-121.875,2015-08-14 17:00:00,0,0.0
33.0,-121.875,2015-08-14 18:00:00,0,0.0
33.0,-121.875,2015-08-14 19:00:00,0,0.0
33.0,-121.875,2015-08-14 20:00:00,0,0.0
33.0,-121.875,2015-08-14 21:00:00,0,0.0
33.0,-121.875,2015-08-14 22:00:00,0,0.0
33.0,-121.875,2015-08-14 23:00:00,0,0.0
33.0,-121.25,2015-08-14 00:00:00,0,0.0
33.0,-121.25,2015-08-14 01:00:00,0,0.0
33.0,-121.25,2015-08-14 02:00:00,0,0.0
33.0,-121.25,2015-08-14 03:00:00,0,0.0
33.0,-121.25,2015-08-14 04:00:00,0,0.0
33.0,-121.25,2015-08-14 05:00:00,0,0.0
33.0,-121.25,2015-08-14 06:00:00,0,0.0
33.0,-121.25,2015-08-14 07:00:00,0,0.0
33.0,-121.25,2015-08-14 08:00:00,0,0.0
33.0,-121.25,2015-08-14 09:00:00,0,0.0
33.0,-121.25,2015-08-14 10:00:00,0,0.0
33.0,-121.25,2015-08-14 11:00:00,0,0.0
33.0,-121.25,2015-08-14 12:00:00,0,0.0
33.0,-121.25,2015-08-14 13:00:00,0,0.0
33.0,-121.25,2015-08-14 14:00:00,0,0.0
33.0,-121.25,2015-08-14 15:00:00,0,0.0
33.0,-121.25,2015-08-14 16:00:00,0,0.0
33.0,-121.25,2015-08-14 17:00:00,0,0.0
33.0,-121.25,2015-08-14 18:00:00,0,0.0
33.0,-121.25,2015-08-14 19:00:00,0,0.0
33.0,-121.25,2015-08-14 20:00:00,0,0.0
33.0,-121.25,2015-08-14 21:00:00,0,0.0
33.0,-121.25,2015-08-14 22:00:00,0,0.0
33.0,-121.25,2015-08-14 23:00:00,0,0.0
33.0,-120.625,2015-08-14 00:00:00,0,0.0
33.0,-120.625,2015-08-14 01:00:00,0,0.0
33.0,-120.625,2015-08-14 02:00:00,0,0.0
33.0,-120.625,2015-08-14 03:00:00,0,0.0
33.0,-120.625,2015-08-14 04:00:00,0,0.0
33.0,-120.625,2015-08-14 05:00:00,0,0.0
33.0,-120.625,2015-08-14 06:00:00,0,0.0
33.0,-120.625,2015-08-14 07:00:00,0,0.0
33.0,-120.625,2015-08-14 08:00:00,0,0.0
33.0,-120.625,2015-08-14 09:00:00,0,0.0
33.0,-120.625,2015-08-14 10:00:00,0,0.0
33.0,-120.625,2015-08-14 11:00:00,0,0.0
33.0,-120.625,2015-08-14 12:00:00,0,0.0
33.0,-120.625,2015-08-14 13:00:00,0,0.0
33.0,-120.625,2015-08-14 14:00:00,0,0.0
33.0,-120.625,2015-08-14 15:00:00,0,0.0
33.0,-120.625,2015-08-14 16:00:00,0,0.0
33.0,-120.625,2015-08-14 17:00:00,0,0.0
33.0,-120.625,2015-08-14 18:00:00,0,0.0
33.0,-120.625,2015-08-14 19:00:00,0,0.0
33.0,-120.625,2015-08-14 20:00:00,0,0.0
33.0,-120.625,2015-08-14 21:00:00,0,0.0
33.0,-120.625,2015-08-14 22:00:00,0,0.0
33.0,-120.625,2015-08-14 23:00:00,0,0.0
