Unnamed: 0,lat,lon,AvgSurfT_tavg
0,33.0,-116.875,-259.91303999999997
1,33.0,-116.25,-256.70633999999995
2,33.0,-115.625,-252.00522999999993
3,33.0,-115.0,-251.48239999999993
4,33.5,-117.5,-258.55573999999996
5,33.5,-116.875,-260.9838
6,33.5,-116.25,-255.19666999999993
7,33.5,-115.625,-253.47319999999996
8,33.5,-115.0,-251.56833999999998
9,34.0,-118.125,-259.17549999999994
10,34.0,-117.5,-259.76014
11,34.0,-116.875,-260.43857999999994
12,34.0,-116.25,-257.62155999999993
13,34.0,-115.625,-253.53916999999996
14,34.0,-115.0,-251.31095999999997
15,34.5,-120.0,-259.63834999999995
16,34.5,-119.375,-261.32971999999995
17,34.5,-118.75,-260.66594
18,34.5,-118.125,-260.77759999999995
19,34.5,-117.5,-261.55344999999994
20,34.5,-116.875,-260.73053999999996
21,34.5,-116.25,-255.73242999999997
22,34.5,-115.625,-252.55142999999998
23,34.5,-115.0,-252.99384999999995
24,35.0,-120.625,-259.59232999999995
25,35.0,-120.0,-260.10759999999993
26,35.0,-119.375,-258.95651999999995
27,35.0,-118.75,-259.57834999999994
28,35.0,-118.125,-260.84961999999996
29,35.0,-117.5,-259.91886999999997
30,35.0,-116.875,-258.94785999999993
31,35.0,-116.25,-254.58489999999995
32,35.0,-115.625,-256.81253999999996
33,35.0,-115.0,-255.58393999999993
34,35.5,-120.625,-259.6099
35,35.5,-120.0,-258.13596999999993
36,35.5,-119.375,-255.23313999999993
37,35.5,-118.75,-257.77687
38,35.5,-118.125,-260.80796999999995
39,35.5,-117.5,-257.99622999999997
40,35.5,-116.875,-258.1339
41,35.5,-116.25,-255.52707999999996
42,35.5,-115.625,-257.22513999999995
43,36.0,-121.25,-259.76206999999994
44,36.0,-120.625,-258.72569999999996
45,36.0,-120.0,-255.71701999999993
46,36.0,-119.375,-254.87604999999996
47,36.0,-118.75,-259.41464999999994
48,36.0,-118.125,-263.99965
49,36.0,-117.5,-258.30519999999996
50,36.0,-116.875,-255.84629999999993
51,36.0,-116.25,-255.53305999999998
52,36.5,-121.875,-258.86778
53,36.5,-121.25,-259.71799999999996
54,36.5,-120.625,-256.70572999999996
55,36.5,-120.0,-254.37924999999996
56,36.5,-119.375,-254.67566999999997
57,36.5,-118.75,-262.22099999999995
58,36.5,-118.125,-264.73752999999994
59,36.5,-117.5,-256.22324999999995
60,36.5,-116.875,-254.67295999999993
61,37.0,-121.875,-259.31415999999996
62,37.0,-121.25,-258.76956999999993
63,37.0,-120.625,-255.92044999999996
64,37.0,-120.0,-255.55667999999997
65,37.0,-119.375,-258.04355999999996
66,37.0,-118.75,-266.57039999999995
67,37.0,-118.125,-262.46592
68,37.0,-117.5,-256.80069999999995
69,37.5,-121.875,-259.68719999999996
70,37.5,-121.25,-258.0881499999999
71,37.5,-120.625,-255.84732999999994
72,37.5,-120.0,-257.57949999999994
73,37.5,-119.375,-263.60184999999996
74,37.5,-118.75,-266.36551999999995
75,37.5,-118.125,-261.05099999999993
76,38.0,-122.5,-259.5361
77,38.0,-121.875,-258.99564999999996
78,38.0,-121.25,-257.14435999999995
79,38.0,-120.625,-257.4129
80,38.0,-120.0,-260.88535999999993
81,38.0,-119.375,-265.43711999999994
82,38.0,-118.75,-262.23515
83,38.5,-123.125,-260.56143999999995
84,38.5,-122.5,-259.9863399999999
85,38.5,-121.875,-258.1835
86,38.5,-121.25,-256.89102999999994
87,38.5,-120.625,-259.05099999999993
88,38.5,-120.0,-261.95809999999994
89,38.5,-119.375,-261.28039999999993
90,39.0,-123.125,-260.88663999999994
91,39.0,-122.5,-259.27957999999995
92,39.0,-121.875,-257.17447999999996
93,39.0,-121.25,-257.18796999999995
94,39.0,-120.625,-260.17819999999995
95,39.5,-123.75,-260.76935999999995
96,39.5,-123.125,-259.88654999999994
97,39.5,-122.5,-257.02759999999995
98,39.5,-121.875,-256.32575999999995
99,39.5,-121.25,-257.83557999999994
100,39.5,-120.625,-260.61265
101,40.0,-123.75,-260.73087999999996
102,40.0,-123.125,-259.24778
103,40.0,-122.5,-255.89292999999998
104,40.0,-121.875,-256.61238
105,40.0,-121.25,-259.13755
106,40.0,-120.625,-259.71574
107,40.0,-120.0,-257.24826999999993
108,40.5,-124.375,-260.29547999999994
109,40.5,-123.75,-259.75244999999995
110,40.5,-123.125,-258.51854
111,40.5,-122.5,-255.24582999999996
112,40.5,-121.875,-257.27304999999996
113,40.5,-121.25,-259.47666999999996
114,40.5,-120.625,-257.15052
115,40.5,-120.0,-255.87906999999996
116,41.0,-123.75,-259.41669999999993
117,41.0,-123.125,-258.92213
118,41.0,-122.5,-257.92737999999997
119,41.0,-121.875,-257.34099999999995
120,41.0,-121.25,-257.65799999999996
121,41.0,-120.625,-257.58197999999993
122,41.0,-120.0,-257.75798
123,41.5,-123.75,-259.33145999999994
124,41.5,-123.125,-258.45329999999996
125,41.5,-122.5,-257.91806999999994
126,41.5,-121.875,-258.39113
127,41.5,-121.25,-256.92456999999996
128,41.5,-120.625,-256.42439999999993
129,41.5,-120.0,-257.3528299999999
130,42.0,-123.125,-258.70413999999994
131,42.0,-122.5,-258.28671999999995
132,42.0,-121.875,-257.07746999999995
