,lat,lon,SPEEDLML
0,33.0,-116.875,3.52449
1,33.0,-116.25,3.9657602
2,33.0,-115.625,3.2313468
3,33.0,-115.0,4.190165
4,33.5,-117.5,3.16413
5,33.5,-116.875,3.4748964
6,33.5,-116.25,2.7110775
7,33.5,-115.625,2.9029026
8,33.5,-115.0,4.1941247
9,34.0,-118.125,3.6324062
10,34.0,-117.5,2.904869
11,34.0,-116.875,2.845396
12,34.0,-116.25,3.128497
13,34.0,-115.625,2.432345
14,34.0,-115.0,4.307381
15,34.5,-120.0,5.0181727
16,34.5,-119.375,4.255896
17,34.5,-118.75,5.017939
18,34.5,-118.125,4.096083
19,34.5,-117.5,2.9993627
20,34.5,-116.875,2.9635847
21,34.5,-116.25,3.6445484
22,34.5,-115.625,2.5662885
23,34.5,-115.0,4.658804
24,35.0,-120.625,4.0258536
25,35.0,-120.0,3.7649708
26,35.0,-119.375,3.5334923
27,35.0,-118.75,4.330168
28,35.0,-118.125,4.520663
29,35.0,-117.5,2.8232155
30,35.0,-116.875,2.8607156
31,35.0,-116.25,2.7073228
32,35.0,-115.625,2.728877
33,35.0,-115.0,5.0165896
34,35.5,-120.625,3.3854904
35,35.5,-120.0,2.7801535
36,35.5,-119.375,2.6910512
37,35.5,-118.75,2.1623302
38,35.5,-118.125,4.0344696
39,35.5,-117.5,2.3525333
40,35.5,-116.875,2.0265992
41,35.5,-116.25,2.0047913
42,35.5,-115.625,1.5817579
43,36.0,-121.25,3.5629537
44,36.0,-120.625,2.810251
45,36.0,-120.0,2.8993213
46,36.0,-119.375,2.7363183
47,36.0,-118.75,2.4784799
48,36.0,-118.125,3.5109031
49,36.0,-117.5,2.5999968
50,36.0,-116.875,2.0008035
51,36.0,-116.25,2.299565
52,36.5,-121.875,2.7746344
53,36.5,-121.25,2.755201
54,36.5,-120.625,3.7072382
55,36.5,-120.0,3.5582078
56,36.5,-119.375,3.2596827
57,36.5,-118.75,2.3050292
58,36.5,-118.125,2.8729095
59,36.5,-117.5,2.767185
60,36.5,-116.875,2.887872
61,37.0,-121.875,2.6473703
62,37.0,-121.25,3.3109405
63,37.0,-120.625,4.188594
64,37.0,-120.0,2.9963434
65,37.0,-119.375,2.8186085
66,37.0,-118.75,2.8589613
67,37.0,-118.125,2.7614396
68,37.0,-117.5,3.819279
69,37.5,-121.875,2.7635863
70,37.5,-121.25,4.39048
71,37.5,-120.625,4.311357
72,37.5,-120.0,3.1472979
73,37.5,-119.375,2.83894
74,37.5,-118.75,3.5059073
75,37.5,-118.125,3.8480384
76,38.0,-122.5,3.4294155
77,38.0,-121.875,3.2296097
78,38.0,-121.25,3.927906
79,38.0,-120.625,3.8758395
80,38.0,-120.0,3.0253553
81,38.0,-119.375,2.88842
82,38.0,-118.75,4.092035
83,38.5,-123.125,4.166454
84,38.5,-122.5,4.4227257
85,38.5,-121.875,4.2105727
86,38.5,-121.25,2.7474375
87,38.5,-120.625,2.989344
88,38.5,-120.0,2.868516
89,38.5,-119.375,3.4089057
90,39.0,-123.125,3.8754923
91,39.0,-122.5,5.463631
92,39.0,-121.875,3.8681078
93,39.0,-121.25,2.9675026
94,39.0,-120.625,2.7674873
95,39.5,-123.75,3.9531488
96,39.5,-123.125,3.642204
97,39.5,-122.5,5.1206393
98,39.5,-121.875,4.2820716
99,39.5,-121.25,3.567302
100,39.5,-120.625,3.197636
101,40.0,-123.75,3.5891917
102,40.0,-123.125,3.9066184
103,40.0,-122.5,5.0564394
104,40.0,-121.875,5.4508777
105,40.0,-121.25,3.1846268
106,40.0,-120.625,3.68584
107,40.0,-120.0,3.064743
108,40.5,-124.375,6.5077915
109,40.5,-123.75,3.0044868
110,40.5,-123.125,3.4468842
111,40.5,-122.5,3.9387407
112,40.5,-121.875,4.7396455
113,40.5,-121.25,3.9381351
114,40.5,-120.625,3.779534
115,40.5,-120.0,2.8498058
116,41.0,-123.75,2.6541684
117,41.0,-123.125,3.0651286
118,41.0,-122.5,3.8251925
119,41.0,-121.875,4.020979
120,41.0,-121.25,4.439376
121,41.0,-120.625,4.2385716
122,41.0,-120.0,4.263364
123,41.5,-123.75,3.5111723
124,41.5,-123.125,3.088102
125,41.5,-122.5,3.0885541
126,41.5,-121.875,4.0015364
127,41.5,-121.25,4.589049
128,41.5,-120.625,4.508886
129,41.5,-120.0,4.4566827
130,42.0,-123.125,2.7895648
131,42.0,-122.5,2.8712237
132,42.0,-121.875,3.496498
